language,text_size,pattern_size,case_type,run_number,execution_time_seconds
C,100000,10,average,22,7.8e-08
C,100000,10,average,23,1.6e-07
C,100000,10,average,24,1.04e-07
C,100000,10,average,25,7.6e-08
Python,100000,10,worst,1,0.030494854000153282
Python,100000,10,worst,2,0.026365880999946967
Python,100000,10,worst,3,0.0251018330000079
Python,100000,10,worst,4,0.025010636999923008
Python,100000,10,worst,5,0.025197172999924078
Python,100000,10,worst,6,0.02522488499971587
Python,100000,10,worst,7,0.025317758999790385
Python,100000,10,worst,8,0.025025043999903573
Python,100000,10,worst,9,0.025336587999845506
Python,100000,10,worst,10,0.025090103999900748
Python,100000,10,worst,11,0.02566782099984266
Python,100000,10,worst,12,0.025117669000337628
Python,100000,10,worst,13,0.025328811000235874
Python,100000,10,worst,14,0.02661505500009298
Python,100000,10,worst,15,0.025648977999935596
Python,100000,10,worst,16,0.02674650600010864
Python,100000,10,worst,17,0.02559138000015082
Python,100000,10,worst,18,0.02519023400009246
Python,100000,10,worst,19,0.025056897000013123
Python,100000,10,worst,20,0.025060410000151023
Python,100000,10,worst,21,0.02693573800024751
Python,100000,10,worst,22,0.025359357000070304
Python,100000,10,worst,23,0.02530393200004255
Python,100000,10,worst,24,0.025104598999860173
Python,100000,10,worst,25,0.025124581000000035
C,100000,10,worst,1,7.3e-08
C,100000,10,worst,2,7e-08
C,100000,10,worst,3,6.4e-08
C,100000,10,worst,4,7.1e-08
C,100000,10,worst,5,5.9e-08
C,100000,10,worst,6,6.9e-08
C,100000,10,worst,7,6.8e-08
C,100000,10,worst,8,9.6e-08
C,100000,10,worst,9,5.4e-08
C,100000,10,worst,10,6.9e-08
C,100000,10,worst,11,5.4e-08
C,100000,10,worst,12,7.1e-08
C,100000,10,worst,13,6e-08
C,100000,10,worst,14,1.23e-07
C,100000,10,worst,15,8.3e-08
C,100000,10,worst,16,8.7e-08
C,100000,10,worst,17,7.6e-08
C,100000,10,worst,18,1.13e-07
C,100000,10,worst,19,7.9e-08
C,100000,10,worst,20,7.9e-08
C,100000,10,worst,21,6.1e-08
C,100000,10,worst,22,7.9e-08
C,100000,10,worst,23,8.3e-08
C,100000,10,worst,24,5.9e-08
C,100000,10,worst,25,7.4e-08
Python,100000,50,best,1,0.016217316999700415
Python,100000,50,best,2,0.016330657999787945
Python,100000,50,best,3,0.01579332900018926
Python,100000,50,best,4,0.015511934999722143
Python,100000,50,best,5,0.015607165999881545
Python,100000,50,best,6,0.015518477000114217
Python,100000,50,best,7,0.015609384000072168
Python,100000,50,best,8,0.015547657999832154
Python,100000,50,best,9,0.01557403400011026
Python,100000,50,best,10,0.015579943999910029
Python,100000,50,best,11,0.015520278999701986
Python,100000,50,best,12,0.015492504000121698
Python,100000,50,best,13,0.0155525850000231
Python,100000,50,best,14,0.015966463000040676
Python,100000,50,best,15,0.01574740500018379
Python,100000,50,best,16,0.01553372299986222
Python,100000,50,best,17,0.015813061000244488
Python,100000,50,best,18,0.01729477999970186
Python,100000,50,best,19,0.017660077999607893
Python,100000,50,best,20,0.017197222000049806
Python,100000,50,best,21,0.016700253999715642
Python,100000,50,best,22,0.01706296400016072
Python,100000,50,best,23,0.017368736999742396
Python,100000,50,best,24,0.016535969999949884
Python,100000,50,best,25,0.017632932999731565
C,100000,50,best,1,5.1e-08
C,100000,50,best,2,6.9e-08
C,100000,50,best,3,9.2e-08
C,100000,50,best,4,7e-08
C,100000,50,best,5,7.7e-08
C,100000,50,best,6,1.09e-07
C,100000,50,best,7,5.4e-08
C,100000,50,best,8,9.2e-08
C,100000,50,best,9,7.2e-08
C,100000,50,best,10,7.5e-08
C,100000,50,best,11,5.9e-08
C,100000,50,best,12,1.33e-07
C,100000,50,best,13,7.9e-08
C,100000,50,best,14,6.4e-08
C,100000,50,best,15,8.2e-08
C,100000,50,best,16,7.3e-08
C,100000,50,best,17,6.8e-08
C,100000,50,best,18,7.8e-08
C,100000,50,best,19,9.8e-08
C,100000,50,best,20,9.1e-08
C,100000,50,best,21,7.9e-08
C,100000,50,best,22,8.3e-08
C,100000,50,best,23,6.6e-08
C,100000,50,best,24,6.2e-08
C,100000,50,best,25,1.01e-07
Python,100000,50,average,1,0.017016287999922497
Python,100000,50,average,2,0.01703424100014672
Python,100000,50,average,3,0.017969733999962045
Python,100000,50,average,4,0.01921945100002631
Python,100000,50,average,5,0.02097107400004461
Python,100000,50,average,6,0.017824652999934187
Python,100000,50,average,7,0.01713073800010534
Python,100000,50,average,8,0.017049276000307145
Python,100000,50,average,9,0.017142267999588512
Python,100000,50,average,10,0.01732942099988577
Python,100000,50,average,11,0.01785548799989556
Python,100000,50,average,12,0.018591751000258228
Python,100000,50,average,13,0.017176835000100255
Python,100000,50,average,14,0.017393677000200114
Python,100000,50,average,15,0.01619360999984565
Python,100000,50,average,16,0.01589822500000082
Python,100000,50,average,17,0.015991268000107084
Python,100000,50,average,18,0.015906850999726885
Python,100000,50,average,19,0.015767430000323657
Python,100000,50,average,20,0.01581090800027596
Python,100000,50,average,21,0.015707679000115604
Python,100000,50,average,22,0.015649035000024014
Python,100000,50,average,23,0.01595442199959507
Python,100000,50,average,24,0.016291638999973657
Python,100000,50,average,25,0.01638369900001635
C,100000,50,average,1,1.01e-07
C,100000,50,average,2,7.8e-08
C,100000,50,average,3,7e-08
C,100000,50,average,4,1.04e-07
C,100000,50,average,5,1.31e-07
C,100000,50,average,6,6e-08
C,100000,50,average,7,9.5e-08
C,100000,50,average,8,6.6e-08
C,100000,50,average,9,5.7e-08
C,100000,50,average,10,6.2e-08
C,100000,50,average,11,7.7e-08
C,100000,50,average,12,8.5e-08
C,100000,50,average,13,6.2e-08
C,100000,50,average,14,5.6e-08
C,100000,50,average,15,8.5e-08
C,100000,50,average,16,6.6e-08
C,100000,50,average,17,1.08e-07
C,100000,50,average,18,1.11e-07
C,100000,50,average,19,8.5e-08
C,100000,50,average,20,9.7e-08
C,100000,50,average,21,7e-08
